Country,count
US,13608
CN,2734
CA,1468
JP,1237
KR,992
GB,901
MX,579
TW,394
TR,326
PH,298
TH,289
ID,268
MY,234
DE,160
AE,144
FR,132
SG,130
RU,109
AR,108
KW,106
BR,102
SA,102
ES,101
CL,96
PE,89
IN,88
IE,73
CH,61
NL,59
PL,53
EG,31
LB,29
CZ,28
GR,28
RO,27
VN,25
NZ,24
PR,24
AU,22
BH,21
DK,21
BE,19
AT,18
QA,18
SE,18
JO,17
NO,17
HU,16
OM,12
CO,11
CR,11
PT,11
SV,11
BS,10
CY,10
MA,9
FI,8
KZ,8
GT,7
BG,5
BN,5
PA,5
AZ,4
BO,4
KH,4
AW,3
CW,3
SK,3
TT,3
ZA,3
LU,2
MC,2
AD,1
